10 Creating 50 consumers
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-114.926243608 ,Running:961.216457844 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-174.575607152 ,Running:1052.19079113 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-122.102297396 ,Running:1092.8778131 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-144.63400929 ,Running:1131.90505505 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-174.931176116 ,Running:1134.23608494 
Case:2, Node:[1.0, 0.3, 0.4615384615384615] ,Feat:[0.8888888888888888, 0.8, 0.8421052631578948] ,Func_value:-49.8041380839 ,Running:1142.91400409 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-105.105368315 ,Running:1330.91316319 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-108.881827018 ,Running:1391.16351795 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-131.430737722 ,Running:1391.66633296 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-144.124391249 ,Running:1512.69145179 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-131.659634042 ,Running:1559.63668704 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-168.290876206 ,Running:1750.09314895 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-193.716876681 ,Running:1866.38378906 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-149.650484733 ,Running:1868.91785097 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-167.111369531 ,Running:1881.8794899 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-127.954366283 ,Running:1928.34413886 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-164.391628051 ,Running:1926.20774603 
VaryingNumCluster: num_attirbute:14 avg_node_fm:0.97   avg_feat_fm 0.92 avg_runtime:891.41
15 Creating 50 consumers
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-106.270923006 ,Running:303.953642845 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-132.804640939 ,Running:334.066544056 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-118.843219605 ,Running:441.948673964 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-114.312676046 ,Running:468.279505968 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-165.845082228 ,Running:487.759178877 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-140.721517458 ,Running:488.355457067 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-130.999942748 ,Running:480.679548025 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-159.712921319 ,Running:491.590443134 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-208.000586078 ,Running:526.945406914 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-210.420738032 ,Running:526.544739962 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-225.470490383 ,Running:540.238968134 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-204.556207084 ,Running:592.381715059 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-160.848108619 ,Running:630.079183102 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-159.082719167 ,Running:624.117143869 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-158.956452926 ,Running:637.29477191 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-155.480140697 ,Running:639.02532196 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-125.984648031 ,Running:653.265584946 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-134.844947868 ,Running:709.658200026 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-134.14757264 ,Running:727.67176795 
