20 Creating 50 consumers
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-128.625022495 ,Running:591.793756962 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-174.053072014 ,Running:622.029005051 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-131.358207656 ,Running:624.101639986 
>>VaryingAtt: 40 0.98 0.94 308.21n
80 Creating 50 consumers
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-188.075290653 ,Running:219.595721006 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-173.215682628 ,Running:221.561657906 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-117.980143693 ,Running:224.454962969 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-110.300164627 ,Running:244.599471092 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-139.096568923 ,Running:254.085292101 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-140.04283352 ,Running:254.665786982 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-179.008509887 ,Running:263.843483925 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.806909862 ,Running:262.475496054 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-192.777507631 ,Running:274.135905027 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-186.610917696 ,Running:271.540664911 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-190.173770322 ,Running:284.854654074 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-140.793864943 ,Running:293.027901888 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-200.828012553 ,Running:297.523845911 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-167.262218714 ,Running:297.244392872 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-215.032315882 ,Running:309.854276896 
Case:6, Node:[0.8333333333333334, 1.0, 0.9090909090909091] ,Feat:[1.0, 0.2, 0.33333333333333337] ,Func_value:-88.4277382607 ,Running:317.195075989 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-135.346880028 ,Running:322.288961887 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-131.671753548 ,Running:328.653121948 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-151.97050601 ,Running:326.589833021 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-158.307685483 ,Running:341.96697402 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-167.474773393 ,Running:349.770055056 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-160.987125196 ,Running:364.368679047 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-129.137448466 ,Running:367.711029053 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-133.344770875 ,Running:417.959643126 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-93.6548249614 ,Running:425.660040855 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-160.320618718 ,Running:427.459044933 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-151.27830438 ,Running:450.173682928 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-171.389635943 ,Running:460.059571981 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-147.122729551 ,Running:484.704643965 
Case:14, Node:[0.4, 0.06666666666666667, 0.1142857142857143] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-20.2967473522 ,Running:499.162715912 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-177.428850304 ,Running:516.446299076 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-153.991176643 ,Running:517.468418121 
Case:23, Node:[0.8333333333333334, 1.0, 0.9090909090909091] ,Feat:[1.0, 0.2, 0.33333333333333337] ,Func_value:-111.762137468 ,Running:547.922951937 
Case:46, Node:[1.0, 0.9333333333333333, 0.9655172413793104] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-107.019366362 ,Running:555.081760168 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-162.511562399 ,Running:567.294221878 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-139.669363328 ,Running:609.032011032 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-119.555173187 ,Running:635.448992968 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-100.838269412 ,Running:688.42524004 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.179895549 ,Running:830.334182024 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-160.095972687 ,Running:840.467314005 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-165.704628981 ,Running:851.988526106 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-124.583718007 ,Running:869.924345016 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-129.831474597 ,Running:871.453524828 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-142.554715541 ,Running:949.009837866 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-137.829331782 ,Running:1071.02360702 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-147.480244897 ,Running:1110.34318399 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-93.9010927942 ,Running:1135.05606103 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-145.344453647 ,Running:1306.57367206 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-116.368757022 ,Running:1320.64025617 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-210.872948344 ,Running:1326.22617507 
>>VaryingAtt: 80 0.98 0.91 539.55n
100 Creating 50 consumers
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-178.211938273 ,Running:296.229146004 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-145.955022739 ,Running:302.65022397 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-126.83666295 ,Running:298.415249109 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-171.491628337 ,Running:321.417994976 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-141.460758182 ,Running:342.02696991 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-218.815279933 ,Running:362.805813789 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-210.612401895 ,Running:365.690758944 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-127.533096293 ,Running:370.685131073 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-163.132407119 ,Running:387.501851082 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-165.060324204 ,Running:393.514098167 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-150.033660903 ,Running:390.093896151 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-203.812489705 ,Running:401.143199921 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-161.200875953 ,Running:405.027031898 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-159.717591973 ,Running:435.115191936 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-178.231136397 ,Running:437.406086922 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-170.486619668 ,Running:442.828010082 
Case:34, Node:[0.967741935483871, 1.0, 0.9836065573770492] ,Feat:[1.0, 0.5, 0.6666666666666666] ,Func_value:-110.041212289 ,Running:442.485890865 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-136.286844244 ,Running:447.658011913 
Case:38, Node:[1.0, 0.9666666666666667, 0.983050847457627] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-77.2808073679 ,Running:451.979317904 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-209.676548636 ,Running:461.256947994 
Case:39, Node:[0.8823529411764706, 1.0, 0.9375] ,Feat:[1.0, 0.2, 0.33333333333333337] ,Func_value:-99.3416768174 ,Running:481.135447025 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-179.164952963 ,Running:487.400286913 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-176.105065958 ,Running:486.470713139 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-209.675463833 ,Running:496.982078075 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-129.374040832 ,Running:490.894344091 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-155.494991092 ,Running:532.813662052 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-118.810737995 ,Running:536.695478201 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-100.554259042 ,Running:560.819684982 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-124.664605871 ,Running:567.580912828 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-136.987821474 ,Running:584.589452982 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-132.839719251 ,Running:647.307398081 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-143.186250907 ,Running:700.49226284 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-138.177705818 ,Running:815.113170147 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-168.217242085 ,Running:828.292073011 
Case:23, Node:[1.0, 0.5666666666666667, 0.7234042553191489] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-95.6541416126 ,Running:856.513005972 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-139.205863094 ,Running:947.428901911 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-79.076591596 ,Running:959.800374031 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.829957674 ,Running:1050.70756102 
