(30, 100) Creating 50 consumers
File not exist..
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-308.556721088 ,Running:352.775566816 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-457.695057918 ,Running:402.239373922 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-520.033069872 ,Running:400.488443136 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-638.122265696 ,Running:423.36476779 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-528.272244304 ,Running:447.580779076 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-766.83324029 ,Running:438.398192167 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-868.932114736 ,Running:458.189325809 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-1107.23281181 ,Running:502.648081064 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-401.367778697 ,Running:506.851022005 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-532.736206925 ,Running:478.149413109 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-721.408627279 ,Running:477.359632015 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-747.115503304 ,Running:476.659862041 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-763.966547814 ,Running:437.265686989 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-657.38701641 ,Running:522.123056173 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-496.335281177 ,Running:520.673097134 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-858.001513396 ,Running:472.987350941 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-537.222040234 ,Running:524.467226028 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1111.52454283 ,Running:469.583864927 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-648.118912987 ,Running:351.253717899 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-760.449604182 ,Running:590.239514112 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-436.42267787 ,Running:449.42367506 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-455.928950718 ,Running:385.021780014 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-351.025532614 ,Running:483.663581133 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-798.209317877 ,Running:477.054214001 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-582.570307164 ,Running:570.147233009 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-895.927810777 ,Running:560.670987129 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-759.831239388 ,Running:598.063352108 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-561.875597559 ,Running:622.423088074 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-893.551073078 ,Running:531.610033035 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-522.831813972 ,Running:636.443203926 
Case:18, Node:[1.0, 0.994413407821229, 0.9971988795518207] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-552.845888782 ,Running:767.525508881 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-748.636654686 ,Running:537.265341997 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1061.94194025 ,Running:632.467517853 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1022.4565632 ,Running:602.417006016 
Case:20, Node:[0.0, 0.0, 0.0] ,Feat:[0.0, 0.0, 0.0] ,Func_value:-42.9856594696 ,Running:800.816210032 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-772.969420802 ,Running:564.189466 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-637.468844534 ,Running:702.112018108 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-805.274500419 ,Running:602.198981047 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-484.328948114 ,Running:676.425133944 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-183.627556706 ,Running:716.261011839 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-276.049271992 ,Running:696.800774097 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-285.357263764 ,Running:698.171891928 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-911.44594913 ,Running:979.364679098 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-565.749235057 ,Running:1208.43971109 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-478.402888616 ,Running:1566.67614818 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-304.948283865 ,Running:1876.88312411 
VaryingClusterSize: cluster size:30 - 200 avg_node_fm:0.98   avg_feat_fm0.92 avg_runtime:588.75
(30, 300) Creating 50 consumers
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-815.215403064 ,Running:323.577142954 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-670.524302278 ,Running:370.169408083 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-617.218603168 ,Running:494.206027985 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-934.856911396 ,Running:418.094733 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-175.538801467 ,Running:596.072223902 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-936.695162264 ,Running:531.276600838 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-1050.82493242 ,Running:583.008555174 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-599.151407971 ,Running:490.752329111 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-673.051335421 ,Running:622.321043968 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-1335.17472521 ,Running:651.875736952 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-543.712119282 ,Running:512.866097927 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-693.683476695 ,Running:662.056509018 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1098.00529033 ,Running:597.471033096 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-387.853278165 ,Running:486.959511042 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-624.999609098 ,Running:561.216373205 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-779.53654278 ,Running:610.171621084 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-865.025427697 ,Running:477.923687935 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-673.551628441 ,Running:728.655838013 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1583.60766106 ,Running:720.382478952 
Case:23, Node:[1.0, 0.9655172413793104, 0.9824561403508771] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-160.339339436 ,Running:648.503237009 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-774.821901596 ,Running:796.60525012 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-879.068774066 ,Running:703.238552809 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-890.29064308 ,Running:720.088521004 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-464.5261746 ,Running:470.800704002 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-580.103590666 ,Running:590.082872868 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-318.341360322 ,Running:953.163761854 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-611.022315499 ,Running:620.774604082 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1009.24415319 ,Running:681.87610507 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-874.400844893 ,Running:730.534482956 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-924.019335753 ,Running:635.449290037 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-1219.55750906 ,Running:878.815505028 
